tconst	averageRating	numVotes
tt0000939	4.7	6
tt0000941	4.9	7
tt0000942	6.1	635
tt0000944	3.8	5
tt0000945	4.6	34
tt0000946	4.6	31
tt0000950	3.6	8
tt0000957	6.8	27
tt0000960	4.7	185
tt0000961	8.0	11
tt0000964	5.2	5
tt0000966	5.8	264
tt0000969	5.9	11
tt0000970	5.6	43
tt0000971	6.1	98
tt0000972	5.4	21
tt0000974	5.1	14
tt0000976	4.4	7
tt0000979	5.0	11
tt0000981	6.0	9
tt0000986	5.1	71
tt0000987	7.8	6
tt0000988	4.0	6
tt0000990	6.3	32
tt0000992	5.1	7
tt0000995	7.6	5
tt0000997	7.2	5
tt0000998	5.2	8
tt0001000	6.2	6
tt0001001	5.6	50
tt0001002	4.8	56
tt0001008	5.2	9
tt0001009	6.5	754
tt0001013	6.0	251
tt0001014	5.0	63
tt0001015	4.3	7
tt0001016	5.7	62
tt0001028	4.6	7
tt0001029	5.1	19
tt0001032	6.1	585
tt0001033	5.4	5
tt0001035	5.1	16
tt0001036	2.8	6
tt0001037	3.4	11
tt0001038	3.9	10
tt0001041	6.5	6
tt0001044	5.8	48
tt0001049	4.1	7
tt0001050	5.4	37
tt0001054	6.6	9
tt0001058	4.3	6
tt0001061	6.0	10
tt0001062	6.2	884
tt0001064	5.7	6
tt0001066	3.8	5
tt0001072	5.6	185
tt0001074	6.1	9
tt0001076	5.6	9
tt0001078	6.7	6
tt0001083	5.4	61
tt0001084	5.1	112
tt0001088	5.2	27
tt0001089	7.9	17
tt0001091	5.4	126
tt0001098	7.0	5
tt0001101	4.4	12
tt0001103	5.6	12
tt0001104	5.0	12
tt0001105	6.6	627
tt0001106	6.1	34
tt0001107	5.4	15
tt0001111	4.4	9
tt0001112	3.2	11
tt0001113	5.7	6
tt0001115	4.7	9
tt0001116	4.9	8
tt0001117	5.9	7
tt0001118	5.5	110
tt0001120	5.5	131
tt0001121	4.9	12
tt0001122	5.9	7
tt0001129	5.3	12
tt0001135	4.9	19
tt0001143	5.0	11
tt0001144	5.0	10
tt0001145	5.8	5
tt0001150	5.5	37
tt0001151	4.5	11
tt0001152	4.4	11
tt0001153	4.3	9
tt0001156	4.8	8
tt0001159	5.7	6
tt0001161	4.9	9
tt0001165	5.0	6
tt0001175	6.0	20
tt0001176	4.7	7
tt0001185	7.2	15
tt0001186	5.2	37
tt0001187	4.9	7
tt0001190	6.6	8
tt0001195	4.6	5
tt0001200	4.8	13
tt0001202	5.2	6
tt0001206	6.6	9
tt0001207	5.7	70
tt0001211	5.4	24
tt0001216	5.1	7
tt0001217	6.0	30
tt0001218	5.4	58
tt0001223	6.5	2953
tt0001227	5.7	153
tt0001230	5.0	6
tt0001234	5.8	11
tt0001236	5.0	10
tt0001237	4.5	19
tt0001240	3.9	11
tt0001241	5.0	7
tt0001242	5.6	8
tt0001245	5.4	26
tt0001256	6.0	387
tt0001258	5.6	58
tt0001262	5.0	6
tt0001264	7.2	36
tt0001265	6.5	393
tt0001277	5.2	8
tt0001280	4.7	13
tt0001282	6.7	14
tt0001283	7.2	6
tt0001284	5.1	13
tt0001285	5.3	26
tt0001292	5.0	22
tt0001294	7.2	5
tt0001299	3.2	6
tt0001303	6.8	6
tt0001307	6.4	5
tt0001314	5.9	123
tt0001315	6.8	8
tt0001321	5.3	15
tt0001326	5.7	20
tt0001330	6.2	8
tt0001333	6.0	12
tt0001337	6.6	12
tt0001340	5.2	62
tt0001351	6.3	23
tt0001358	4.1	12
tt0001370	5.2	12
tt0001371	6.0	288
tt0001377	5.2	15
tt0001378	6.2	158
tt0001380	3.6	5
tt0001381	5.3	15
tt0001385	5.7	19
tt0001386	5.1	7
tt0001387	6.1	10
tt0001388	5.8	45
tt0001396	3.2	5
tt0001400	6.8	5
tt0001401	5.6	10
tt0001410	4.3	6
tt0001414	8.1	16
tt0001423	4.7	6
tt0001428	4.9	16
tt0001431	6.5	475
tt0001432	4.4	5
tt0001439	5.9	176
tt0001440	4.8	9
tt0001444	3.3	19
tt0001446	6.0	6
tt0001452	5.5	127
tt0001456	8.9	7
tt0001458	5.9	108
tt0001459	5.6	26
tt0001460	3.2	6
tt0001461	6.1	7
tt0001463	5.7	1219
tt0001469	5.8	58
tt0001475	7.8	13
tt0001481	5.7	9
tt0001482	5.5	24
tt0001488	6.4	288
tt0001490	4.6	7
tt0001496	4.0	30
tt0001499	5.6	218
tt0001500	5.7	6
tt0001508	5.3	12
tt0001510	5.6	24
tt0001517	6.0	13
tt0001518	5.7	7
tt0001519	4.4	12
tt0001527	7.8	2130
tt0001529	4.2	6
tt0001530	6.0	8
tt0001531	5.1	7
tt0001542	4.4	8
tt0001544	6.1	450
tt0001545	6.7	78
tt0001550	5.6	24
tt0001551	5.4	54
tt0001552	5.2	12
tt0001557	4.9	49
tt0001563	5.8	22
tt0001564	4.6	7
tt0001571	5.0	6
tt0001577	5.0	6
tt0001582	4.9	8
tt0001583	5.6	10
tt0001586	4.5	6
tt0001587	4.2	8
tt0001588	5.7	119
tt0001593	6.4	242
tt0001594	6.4	212
tt0001598	6.3	11
tt0001607	5.7	24
tt0001613	5.7	94
tt0001614	6.4	13
tt0001615	5.4	9
tt0001624	5.0	30
tt0001630	6.0	18
tt0001632	6.4	37
